urlid,label
5865,0.730000
782,0.260000
6962,0.360000
7640,0.360000
3589,0.430000
6719,0.560000
3905,0.620000
9841,0.810000
7447,0.190000
4776,0.450000
2879,0.640000
2620,0.470000
10479,0.260000
1105,0.200000
1849,0.270000
8286,0.620000
8344,0.630000
10486,0.960000
8661,0.710000
7188,0.530000
1433,0.390000
677,0.370000
469,0.870000
6988,0.460000
8024,0.320000
6896,0.300000
9154,0.490000
342,0.470000
50,0.460000
983,0.450000
6933,0.290000
8271,0.460000
5602,0.470000
4505,0.490000
4966,0.560000
2390,0.380000
6736,0.370000
4660,0.850000
7560,0.910000
3840,0.540000
5823,0.450000
5789,0.890000
1595,0.150000
6770,0.390000
3522,0.860000
5584,0.820000
8323,0.620000
3862,0.680000
373,0.290000
7345,0.600000
7708,0.480000
1398,0.570000
4298,0.530000
7467,0.260000
1878,0.530000
1832,0.500000
625,0.550000
7438,0.230000
9961,0.930000
7117,0.290000
8190,0.490000
1713,0.600000
949,0.720000
9246,0.190000
2326,0.430000
8942,0.410000
4458,0.660000
4659,0.320000
9522,0.130000
2497,0.660000
9836,0.580000
3808,0.910000
5575,0.500000
5714,0.140000
2490,0.840000
6812,0.470000
4335,0.270000
10014,0.670000
5889,0.570000
482,0.790000
8082,0.600000
5856,0.810000
8866,0.300000
2624,0.730000
1371,0.530000
4436,0.450000
2972,0.440000
3638,0.480000
6249,0.420000
7602,0.270000
9624,0.930000
7567,0.620000
6578,0.480000
7590,0.530000
8590,0.460000
10520,0.730000
1906,0.260000
1373,0.560000
1601,0.810000
4754,0.290000
8208,0.370000
1658,0.850000
1352,0.480000
8143,0.790000
7760,0.600000
7836,0.700000
9769,0.350000
503,0.700000
4909,0.470000
7162,0.450000
10035,0.450000
1992,0.240000
6133,0.390000
8519,0.520000
1879,0.420000
7107,0.660000
1225,0.550000
2451,0.460000
8252,0.230000
9214,0.170000
4850,0.880000
5891,0.160000
5274,0.630000
8623,0.270000
562,0.980000
860,0.420000
4199,0.900000
7616,0.450000
10544,0.420000
1567,0.890000
6552,0.400000
954,0.360000
111,0.410000
7036,0.670000
1995,0.750000
7095,0.450000
10180,0.540000
6872,0.700000
4805,0.870000
355,0.820000
8097,0.680000
9271,0.710000
431,0.510000
1646,0.460000
143,0.690000
3436,0.350000
150,0.640000
9745,0.450000
715,0.410000
578,0.380000
8684,0.700000
1186,0.450000
9115,0.450000
9239,0.460000
5461,0.400000
5424,0.920000
1349,0.790000
609,0.570000
7569,0.280000
1622,0.600000
6541,0.150000
9873,0.700000
305,0.200000
6041,0.460000
